codigo_cliente,sexo_cliente,intervalo_medio
4029,F,0
2273,M,160
572,F,29
5958,M,238
6064,F,190
3084,F,160
5253,M,70
1328,M,31
1548,F,20
6466,M,278
2895,M,154
3903,F,41
5594,F,189
7555,F,42
18890,F,185
5791,F,267
6850,F,44
8811,F,49
11831,F,22
2374,F,40
11748,F,170
4773,M,24
5905,F,97
2064,M,55
102,F,88
2261,M,225
4181,F,8
6299,F,9
4606,F,135
724,F,34
1783,F,61
4803,F,46
14020,F,30
22335,F,65
1119,M,27
216,F,91
414,M,26
1275,F,90
3236,F,192
6413,F,64
10492,F,273
15473,F,108
5779,F,217
14839,F,138
2799,F,51
4055,F,20
3350,F,21
23902,F,22
3859,M,21
6197,F,21
14198,F,52
10670,F,45
591,F,41
4564,M,13
114,F,248
1150,M,78
11489,F,223
3422,M,77
10784,F,89
24080,F,62
2823,F,26
6902,F,66
24277,F,13
5366,F,52
15265,M,69
3225,M,53
5343,M,54
516,M,262
9733,M,14
713,M,64
819,F,52
6008,M,56
7016,F,49
2083,M,192
3142,M,39
7441,F,105
1221,M,2
2280,M,41
3559,F,69
4241,M,114
5677,F,23
21993,F,273
1054,F,121
3172,F,57
7251,F,56
349,F,8
3453,M,47
4271,F,46
8507,F,17
17808,M,115
1802,F,26
7999,F,48
5488,M,22
9410,M,112
390,M,80
2819,M,136
5798,F,80
17133,F,62
1916,F,153
3877,F,246
23370,F,35
223,F,33
2341,F,43
3243,F,37
1479,F,197
3524,M,47
5715,F,243
24346,F,38
3991,F,54
5050,F,72
5207,F,116
5248,M,103
6109,F,30
2455,F,23
4416,F,4
12574,F,73
1593,F,127
2652,F,23
4613,F,10
8849,F,45
25165,F,27
888,F,17
1790,F,57
6223,F,62
4614,M,106
5893,F,250
1149,F,159
2208,F,46
18681,F,41
444,F,165
4728,M,0
15067,F,12
7,F,65
1066,F,62
1905,M,93
3866,M,42
4086,F,73
5984,M,68
6204,F,84
11342,F,55
1263,F,18
4177,M,74
401,F,97
1354,M,65
2413,M,65
4685,M,66
6121,F,48
7180,F,61
13220,F,157
121,F,54
1180,F,111
3141,F,166
10397,F,71
3232,M,40
17850,F,98
23185,F,10
235,F,31
1491,F,29
1688,F,101
2747,F,28
3649,F,26
7885,F,144
9846,F,121
1809,F,53
45,F,40
1104,F,34
19538,F,0
25578,F,28
1301,F,95
4321,F,50
2557,F,149
3616,F,249
15853,F,16
2982,F,61
7218,F,35
8120,F,121
3263,M,24
5297,F,237
356,F,13
1415,F,61
2515,M,97
3376,F,31
6553,F,47
7809,F,57
11888,F,3
978,F,57
2037,F,10
3096,F,165
5057,F,53
5141,M,50
5298,M,54
17451,F,13
1175,F,41
1259,M,18
470,F,134
1529,F,36
5608,F,51
7726,F,69
1726,F,118
2785,F,2
3687,F,132
3885,M,98
5962,F,201
8982,F,139
10943,F,155
2151,F,20
4112,F,58
387,F,106
4309,F,112
9604,F,316
13683,F,13
1684,M,195
2545,F,29
6979,M,132
3801,F,205
231,M,65
1510,F,345
17983,F,70
1707,F,37
2546,M,55
4727,F,34
20141,F,117
845,F,101
1904,F,218
6034,M,78
8298,F,305
3365,M,97
4424,M,76
11743,F,258
