CODIGO_CLIENTE,ID_COMPRA,SEXO_CLIENTE,QTD_ITENS
4514,1726002,M,48
349,1444745,F,2
5248,1418092,M,10
6091,1442856,F,38
6651,882689,M,4
374,1133074,F,44
2919,1212698,M,2
3559,1644861,F,2
1310,1554342,M,56
17079,1668353,F,2
13282,1069111,F,5
3588,1273354,M,9
9602,764310,M,24
23280,1691805,F,2
5030,874269,M,6
7441,1147973,F,39
2009,1705564,F,3
11058,1332334,F,4
8577,874572,F,3
4646,1868460,F,11
5057,1103186,F,24
4476,820606,F,13
7641,823995,F,41
2208,1123172,F,8
2596,1052520,F,9
1171,1057814,F,43
2070,989011,M,4
22540,1175064,F,11
1033,998834,F,11
3316,1798647,M,1
3734,1482506,M,11
10668,843292,F,49
23535,1700238,F,92
5297,1078270,F,30
2547,1731818,F,11
216,1842091,F,3
6651,1080536,M,12
82,1694466,F,61
113,961431,F,187
19944,1833577,F,79
2129,1625938,F,35
14020,1026101,F,39
1292,1893126,F,5
8808,1263588,F,4
4565,1866149,F,4
1901,1596711,F,1
1174,906822,F,6
8764,1322298,F,4
3694,750976,M,2
13675,1353077,F,2
7648,941263,F,16
2651,910525,F,2
3667,1058278,M,2
2792,985112,M,90
446,770623,F,46
6514,1251415,M,18
12446,1865902,F,22
6999,1882658,F,36
928,1093905,F,4
4606,1682751,F,27
5840,1085840,M,2
2558,1900529,F,7
2763,1277283,F,6
6842,1151831,F,5
199,1683718,M,2
10670,1906706,F,2
1606,1125957,F,5
17467,1842236,F,68
8942,1011780,F,39
3986,757244,F,2
45,1913953,F,16
1685,1514801,F,6
2956,1206543,M,12
5757,1146467,M,23
1397,1236190,F,38
9039,896341,M,2
6979,764306,M,21
4273,1598080,F,23
1849,1686023,F,14
12499,1147958,F,4
4981,1596803,F,6
23320,1804803,F,16
297,1731996,F,46
510,1602197,M,5
1327,1577098,M,3
3866,1099171,M,5
8347,1913794,F,19
4704,1406640,F,20
4779,770689,F,3
2694,1225378,F,1
2745,1912893,F,10
5356,924242,M,2
14295,1266434,F,10
2692,1050119,M,1
17055,1682780,M,6
4470,911995,F,6
683,890254,F,10
2447,1548110,F,150
21669,1535726,F,72
3056,1700086,M,26
1640,1104739,F,5
3811,1094789,M,10
7745,1577240,F,21
2480,1433200,F,4
1621,1062733,M,1
9706,1219310,F,1
3191,1335517,M,9
3460,1052084,F,34
6345,819106,F,2
23330,1853299,F,42
4394,1050176,M,116
490,1344700,F,10
5451,1256109,F,1
18362,815439,F,1
618,1034166,F,3
3538,1817009,M,4
296,1658408,F,5
15697,1918473,F,2
4945,1025358,F,4
2426,1154956,F,7
25285,1895807,M,2
2959,1820153,F,1
24410,1688900,F,3
1246,1334571,F,2
12642,954722,F,14
4507,1045588,F,2
4248,1879209,M,1
411,1667765,F,2
9916,1068804,F,6
7480,1114489,F,6
5032,1922710,M,5
1372,1443975,M,39
11342,825872,F,8
11134,1247039,F,9
9133,1879681,F,9
